binary_question,Count
Must Step 5 happen before Step 11?,3
Must Step 5 happen before Step 13?,3
Must Step 8 happen before Step 16?,3
Must Step 9 happen before Step 12?,3
Must Step 9 happen before Step 15?,3
Must Step 1 happen before Step 15?,3
Must Step 2 happen before Step 15?,3
Must Step 14 happen before Step 15?,3
Must Step 2 happen before Step 14?,3
Must Step 7 happen before Step 12?,3
Must Step 14 happen before Step 16?,3
Must Step 6 happen before Step 16?,3
Must Step 13 happen before Step 16?,3
Must Step 11 happen before Step 16?,2
Must Step 7 happen before Step 16?,2
Must Step 7 happen before Step 17?,2
Must Step 5 happen before Step 17?,2
Must Step 15 happen before Step 21?,2
Must Step 9 happen before Step 14?,2
Must Step 16 happen before Step 17?,2
Must Step 3 happen before Step 15?,2
Must Step 14 happen before Step 17?,2
Must Step 3 happen before Step 16?,2
Must Step 7 happen before Step 15?,2
Must Step 5 happen before Step 15?,2
Must Step 6 happen before Step 15?,2
Must Step 6 happen before Step 12?,2
Must Step 11 happen before Step 14?,2
Must Step 10 happen before Step 12?,2
Must Step 5 happen before Step 18?,2
Must Step 10 happen before Step 18?,2
Must Step 13 happen before Step 14?,2
Must Step 12 happen before Step 18?,2
Must Step 10 happen before Step 15?,2
Must Step 3 happen before Step 14?,2
Must Step 9 happen before Step 16?,2
Must Step 8 happen before Step 15?,2
Must Step 3 happen before Step 9?,2
Must Step 3 happen before Step 21?,2
Must Step 4 happen before Step 17?,2
Must Step 6 happen before Step 14?,2
Must Step 6 happen before Step 17?,2
Must Step 13 happen before Step 21?,2
Must Step 10 happen before Step 21?,1
Must Step 10 happen before Step 16?,1
Must Step 2 happen before Step 16?,1
Must Step 10 happen before Step 22?,1
Must Step 1 happen before Step 17?,1
Must Step 2 happen before Step 21?,1
Must Step 1 happen before Step 21?,1
Must Step 12 happen before Step 20?,1
Must Step 7 happen before Step 20?,1
Must Step 5 happen before Step 22?,1
Must Step 1 happen before Step 16?,1
Must Step 7 happen before Step 14?,1
Must Step 13 happen before Step 18?,1
Must Step 2 happen before Step 17?,1
Must Step 4 happen before Step 15?,1
Must Step 11 happen before Step 17?,1
Must Step 10 happen before Step 14?,1
Must Step 12 happen before Step 15?,1
Must Step 1 happen before Step 14?,1
Must Step 11 happen before Step 15?,1
Must Step 12 happen before Step 14?,1
Must Step 10 happen before Step 13?,1
Must Step 6 happen before Step 20?,1
Must Step 3 happen before Step 18?,1
Must Step 10 happen before Step 17?,1
Must Step 18 happen before Step 22?,1
Must Step 13 happen before Step 22?,1
Must Step 6 happen before Step 21?,1
Must Step 5 happen before Step 20?,1
Must Step 7 happen before Step 21?,1
Must Step 6 happen before Step 18?,1
Must Step 8 happen before Step 22?,1
Must Step 8 happen before Step 17?,1
Must Step 15 happen before Step 17?,1
Must Step 3 happen before Step 22?,1
Must Step 17 happen before Step 22?,1
Must Step 16 happen before Step 22?,1
Must Step 9 happen before Step 21?,1
Must Step 14 happen before Step 22?,1
Must Step 12 happen before Step 17?,1
Must Step 9 happen before Step 17?,1
Must Step 4 happen before Step 21?,1
Must Step 4 happen before Step 22?,1
Must Step 4 happen before Step 18?,1
Must Step 15 happen before Step 20?,1
Must Step 11 happen before Step 20?,1
Must Step 11 happen before Step 21?,1
Must Step 11 happen before Step 18?,1
Must Step 16 happen before Step 18?,1
Must Step 12 happen before Step 21?,1
Must Step 3 happen before Step 20?,1
Must Step 14 happen before Step 21?,1
Must Step 12 happen before Step 13?,1
