binary_question,Count
Must Step 14 happen before Step 21?,1
Must Step 15 happen before Step 20?,1
Must Step 15 happen before Step 22?,1
Must Step 16 happen before Step 17?,1
Must Step 16 happen before Step 18?,1
Must Step 6 happen before Step 22?,1
Must Step 6 happen before Step 20?,1
Must Step 13 happen before Step 18?,1
Must Step 12 happen before Step 22?,1
Must Step 9 happen before Step 22?,1
Must Step 4 happen before Step 16?,1
Must Step 3 happen before Step 20?,1
Must Step 12 happen before Step 20?,1
Must Step 3 happen before Step 18?,1
Must Step 19 happen before Step 22?,1
Must Step 2 happen before Step 22?,1
Must Step 20 happen before Step 22?,1
Must Step 21 happen before Step 22?,1
