binary_question,Count
Must Step 14 happen after Step 9?,2
Must Step 17 happen after Step 12?,2
Must Step 17 happen after Step 15?,2
Must Step 14 happen after Step 7?,2
Must Step 15 happen after Step 8?,2
Must Step 21 happen after Step 16?,2
Must Step 10 happen after Step 2?,2
Must Step 13 happen after Step 6?,2
Must Step 16 happen after Step 14?,2
Must Step 15 happen after Step 6?,2
Must Step 17 happen after Step 3?,2
Must Step 15 happen after Step 3?,2
Must Step 20 happen after Step 8?,2
Must Step 20 happen after Step 13?,2
Must Step 16 happen after Step 13?,2
Must Step 15 happen after Step 7?,2
Must Step 18 happen after Step 14?,2
Must Step 20 happen after Step 14?,2
Must Step 13 happen after Step 1?,2
Must Step 17 happen after Step 11?,2
Must Step 16 happen after Step 11?,1
Must Step 16 happen after Step 12?,1
Must Step 14 happen after Step 4?,1
Must Step 21 happen after Step 10?,1
Must Step 21 happen after Step 12?,1
Must Step 20 happen after Step 7?,1
Must Step 18 happen after Step 15?,1
Must Step 15 happen after Step 1?,1
Must Step 15 happen after Step 2?,1
Must Step 18 happen after Step 16?,1
Must Step 14 happen after Step 5?,1
Must Step 14 happen after Step 6?,1
Must Step 16 happen after Step 5?,1
Must Step 16 happen after Step 7?,1
Must Step 17 happen after Step 10?,1
Must Step 10 happen after Step 3?,1
Must Step 16 happen after Step 6?,1
Must Step 17 happen after Step 6?,1
Must Step 17 happen after Step 2?,1
Must Step 14 happen after Step 8?,1
Must Step 20 happen after Step 10?,1
Must Step 18 happen after Step 8?,1
Must Step 15 happen after Step 5?,1
Must Step 21 happen after Step 1?,1
Must Step 17 happen after Step 16?,1
Must Step 19 happen after Step 17?,1
Must Step 17 happen after Step 14?,1
Must Step 19 happen after Step 13?,1
Must Step 18 happen after Step 13?,1
Must Step 22 happen after Step 19?,1
Must Step 22 happen after Step 20?,1
Must Step 22 happen after Step 21?,1
Must Step 20 happen after Step 12?,1
Must Step 20 happen after Step 11?,1
Must Step 17 happen after Step 1?,1
Must Step 18 happen after Step 11?,1
Must Step 18 happen after Step 9?,1
Must Step 17 happen after Step 4?,1
Must Step 18 happen after Step 4?,1
Must Step 20 happen after Step 4?,1
Must Step 21 happen after Step 4?,1
Must Step 20 happen after Step 5?,1
Must Step 20 happen after Step 9?,1
Must Step 18 happen after Step 6?,1
Must Step 18 happen after Step 7?,1
Must Step 17 happen after Step 8?,1
Must Step 19 happen after Step 16?,1
Must Step 17 happen after Step 9?,1
Must Step 13 happen after Step 4?,1
